# magnet_name: BD-004
# timestamp: 2026-01-12_15-47-20
# filename: 2017-03-06_BD-004_teste
# 
# distance traveled[m]: 0.25
# particle_mass[MeV/c²]: 939.3
# particle_charge[e]: 1
# initial_kinetic_energy[MeV]: 1
# initial_position[m]: (-0.05, 0, 0)
# initial_velocity_direction: [1, 0, 0]
# initial_speed[m/s]: 1.3823e+07
# time_step[s]: 1.00e-11
# total_time[s]: 1.00e-07
# x(m), y(m), z(m), Vx(m/s), Vy(m/s), Vz(m/s), Bx(T), By(T), Bz(T), t(s)
-5.000000000000e-02,0.000000000000e+00,0.000000000000e+00,1.382251229764e+07,0.000000000000e+00,0.000000000000e+00,7.517212616801e-05,-9.089000709800e-03,-3.322166895181e-04,0.000000000000e+00
-4.986177487703e-02,4.389189733333e-11,-1.200824315062e-09,1.382251229712e+07,4.389189733333e+00,-1.200824315062e+02,7.534643258198e-05,-9.124758528471e-03,-3.344858695156e-04,1.000000000000e-11
-4.972354975407e-02,1.319754056970e-10,-3.607197214384e-09,1.382251229554e+07,8.808350836369e+00,-2.406372899322e+02,7.552073905870e-05,-9.160516346387e-03,-3.367550495057e-04,2.000000000000e-11
-4.958532463114e-02,2.645502380417e-10,-7.223842967005e-09,1.382251229290e+07,1.325748323447e+01,-3.616645752621e+02,7.569504559841e-05,-9.196274163543e-03,-3.390242294881e-04,3.000000000000e-11
-4.944709950825e-02,4.419161065692e-10,-1.205548584181e-08,1.382251228918e+07,1.773658685275e+01,-4.831642874802e+02,7.586972995652e-05,-9.231964585033e-03,-3.412929336053e-04,4.000000000000e-11
-4.930887438541e-02,6.643726598587e-10,-1.810684120340e-08,1.382251228437e+07,2.224565532895e+01,-6.051355361594e+02,7.604502385136e-05,-9.267546270269e-03,-3.435608699625e-04,5.000000000000e-11
-4.917064926262e-02,9.322194442978e-10,-2.538261005028e-08,1.382251227846e+07,2.678467844391e+01,-7.275768846874e+02,7.622031780114e-05,-9.303127956287e-03,-3.458288063223e-04,6.000000000000e-11
-4.903242413991e-02,1.245756005519e-09,-3.388749338096e-08,1.382251227144e+07,3.135365612209e+01,-8.504883330680e+02,7.639561180605e-05,-9.338709643089e-03,-3.480967426847e-04,7.000000000000e-11
-4.889419901728e-02,1.605281888395e-09,-4.362619219400e-08,1.382251226328e+07,3.595258828766e+01,-9.738698813047e+02,7.657090586630e-05,-9.374291330674e-03,-3.503646790494e-04,8.000000000000e-11
-4.875597389474e-02,2.011096637041e-09,-5.460340748801e-08,1.382251225399e+07,4.058147486459e+01,-1.097721529401e+03,7.674619998207e-05,-9.409873019043e-03,-3.526326154164e-04,9.000000000000e-11
-4.861774877230e-02,2.463499794807e-09,-6.682384026161e-08,1.382251224354e+07,4.524031577657e+01,-1.222043277360e+03,7.692149415358e-05,-9.445454708195e-03,-3.549005517853e-04,1.000000000000e-10
-4.847952364998e-02,2.962790904277e-09,-8.029219151346e-08,1.382251223193e+07,4.992911094704e+01,-1.346835125185e+03,7.709678838100e-05,-9.481036398131e-03,-3.571684881562e-04,1.100000000000e-10
-4.834129852779e-02,3.509269507269e-09,-9.501316224225e-08,1.382251221914e+07,5.464786029920e+01,-1.472097072878e+03,7.727208266454e-05,-9.516618088850e-03,-3.594364245286e-04,1.200000000000e-10
-4.820307340574e-02,4.103235144829e-09,-1.109914534467e-07,1.382251220516e+07,5.939656375599e+01,-1.597829120443e+03,7.744737700440e-05,-9.552199780353e-03,-3.617043609026e-04,1.300000000000e-10
